
--- Tarjan-Vishkin Algorithm's results ---
Total Biconnected Components (BCCs) found: 223
BCC 1 (Bridge): {(560, 1160)}
BCC 88 (Bridge): {(96, 887)}
BCC 89 (Bridge): {(952, 1073)}
BCC 90 (Bridge): {(321, 1103)}
BCC 91 (Bridge): {(202, 1002)}
BCC 92 (Bridge): {(171, 642)}
BCC 93 (Bridge): {(362, 1197)}
BCC 94 (Bridge): {(751, 906)}
BCC 95 (Bridge): {(158, 886)}
BCC 96 (Bridge): {(9, 534)}
BCC 97 (Bridge): {(242, 1150)}
BCC 98 (Bridge): {(296, 977)}
BCC 99 (Bridge): {(177, 912)}
BCC 100 (Bridge): {(667, 1005)}
BCC 101 (Bridge): {(571, 808)}
BCC 102 (Bridge): {(585, 985)}
BCC 103 (Bridge): {(383, 441)}
BCC 104 (Bridge): {(113, 738)}
BCC 105 (Bridge): {(47, 118)}
BCC 106 (Bridge): {(327, 401)}
BCC 107 (Bridge): {(805, 978)}
BCC 108 (Bridge): {(246, 848)}
BCC 109 (Bridge): {(841, 877)}
BCC 110 (Bridge): {(380, 439)}
BCC 111 (Bridge): {(372, 435)}
BCC 112 (Bridge): {(203, 454)}
BCC 113 (Bridge): {(346, 1033)}
BCC 114 (Bridge): {(53, 1166)}
BCC 115 (Bridge): {(238, 672)}
BCC 116 (Bridge): {(37, 1063)}
BCC 117 (Bridge): {(51, 328)}
BCC 118 (Bridge): {(689, 966)}
BCC 119 (Bridge): {(596, 895)}
BCC 120 (Bridge): {(109, 669)}
BCC 121 (Bridge): {(230, 1044)}
BCC 122 (Bridge): {(275, 557)}
BCC 123 (Bridge): {(192, 559)}
BCC 124 (Bridge): {(382, 539)}
BCC 125 (Bridge): {(706, 878)}
BCC 126 (Bridge): {(42, 955)}
BCC 127 (Bridge): {(139, 491)}
BCC 128 (Bridge): {(6, 870)}
BCC 129 (Bridge): {(248, 1013)}
BCC 130 (Bridge): {(656, 736)}
BCC 131 (Bridge): {(117, 198)}
BCC 132 (Bridge): {(555, 689)}
BCC 133 (Bridge): {(767, 809)}
BCC 134 (Bridge): {(78, 98)}
BCC 135 (Bridge): {(599, 1081)}
BCC 136 (Bridge): {(32, 746)}
BCC 137 (Bridge): {(228, 392)}
BCC 138 (Bridge): {(417, 1059)}
BCC 139 (Bridge): {(377, 469)}
BCC 140 (Bridge): {(157, 731)}
BCC 141 (Bridge): {(585, 885)}
BCC 142 (Bridge): {(275, 579)}
BCC 143 (Bridge): {(869, 945)}
BCC 144 (Bridge): {(91, 655)}
BCC 145 (Bridge): {(363, 417)}
BCC 146 (Bridge): {(161, 295)}
BCC 147 (Bridge): {(76, 336)}
BCC 148 (Bridge): {(845, 1192)}
BCC 149 (Bridge): {(89, 1065)}
BCC 150 (Bridge): {(328, 570)}
BCC 151 (Bridge): {(172, 402)}
BCC 152 (Component 152): {(0, 1), (0, 4), (0, 16), (0, 45), (0, 47), (0, 52), (0, 106), (0, 146), (0, 300), (1, 2), (1, 8), (1, 9), (1, 21), (1, 77), (1, 173), (1, 1146), (2, 3), (2, 12), (2, 133), (2, 220), (2, 950), (3, 157), (3, 267), (3, 396), (4, 5), (4, 6), (4, 121), (4, 296), (4, 338), (5, 38), (6, 7), (6, 32), (6, 61), (6, 102), (6, 297), (6, 462), (7, 10), (7, 24), (7, 50), (7, 202), (7, 415), (7, 538), (7, 1055), (8, 14), (8, 34), (8, 115), (8, 138), (8, 530), (8, 582), (8, 636), (9, 13), (9, 62), (9, 143), (9, 648), (9, 1142), (10, 11), (10, 119), (10, 1174), (11, 20), (11, 29), (11, 108), (11, 114), (11, 433), (11, 947), (11, 1010), (12, 28), (12, 44), (12, 92), (12, 233), (12, 609), (13, 15), (13, 17), (13, 19), (13, 23), (13, 55), (13, 162), (13, 165), (13, 769), (14, 37), (14, 129), (14, 367), (14, 478), (15, 25), (15, 87), (15, 586), (15, 641), (15, 869), (16, 18), (16, 22), (16, 35), (16, 43), (16, 286), (16, 866), (16, 1193), (17, 85), (17, 139), (17, 158), (17, 479), (17, 1074), (18, 30), (18, 39), (18, 110), (18, 180), (19, 232), (19, 571), (19, 716), (20, 58), (20, 91), (20, 103), (21, 268), (21, 679), (21, 1121), (22, 75), (22, 575), (22, 875), (22, 1095), (23, 60), (23, 146), (23, 159), (23, 226), (23, 412), (24, 27), (24, 53), (24, 352), (24, 591), (24, 842), (25, 26), (25, 31), (25, 518), (25, 832), (26, 59), (26, 70), (27, 33), (27, 63), (27, 93), (27, 178), (27, 281), (27, 451), (28, 117), (28, 1049), (29, 88), (29, 184), (29, 204), (29, 352), (29, 526), (29, 571), (30, 36), (30, 357), (31, 1146), (32, 64), (32, 80), (32, 294), (32, 448), (32, 595), (32, 982), (32, 997), (33, 49), (33, 51), (33, 65), (33, 75), (33, 116), (34, 41), (35, 68), (36, 48), (36, 408), (37, 1104), (38, 40), (38, 888), (38, 913), (38, 923), (38, 1097), (39, 81), (39, 1001), (39, 1080), (40, 147), (40, 265), (40, 393), (40, 409), (40, 442), (40, 684), (41, 54), (41, 787), (43, 96), (43, 142), (43, 462), (43, 597), (43, 649), (44, 56), (44, 83), (44, 130), (44, 175), (44, 743), (44, 1095), (45, 46), (45, 234), (45, 475), (46, 67), (46, 242), (46, 1055), (46, 1066), (46, 1182), (47, 76), (48, 188), (48, 248), (48, 447), (49, 104), (49, 123), (49, 137), (49, 242), (49, 1031), (49, 1195), (50, 69), (50, 84), (50, 354), (50, 573), (50, 763), (50, 987), (51, 57), (51, 95), (51, 125), (51, 134), (51, 155), (51, 248), (51, 251), (51, 488), (51, 923), (51, 965), (51, 988), (52, 71), (52, 446), (53, 458), (53, 635), (53, 1172), (54, 66), (55, 113), (55, 238), (55, 587), (55, 952), (56, 210), (57, 89), (57, 167), (57, 599), (57, 930), (58, 213), (59, 141), (59, 323), (59, 359), (59, 783), (59, 964), (60, 111), (60, 252), (60, 1115), (60, 1154), (61, 74), (61, 79), (61, 133), (61, 145), (61, 254), (61, 264), (61, 292), (61, 663), (61, 664), (62, 195), (62, 776), (63, 224), (63, 574), (63, 577), (64, 189), (64, 434), (64, 473), (64, 556), (64, 722), (65, 94), (65, 186), (65, 260), (65, 280), (66, 174), (66, 205), (66, 607), (66, 1183), (66, 1188), (67, 223), (67, 325), (67, 474), (67, 1080), (68, 241), (68, 342), (68, 742), (68, 751), (68, 1032), (69, 395), (69, 494), (70, 72), (70, 97), (70, 149), (70, 166), (70, 560), (70, 702), (71, 73), (71, 77), (71, 78), (71, 211), (71, 649), (72, 161), (72, 343), (72, 768), (72, 789), (72, 971), (73, 82), (73, 128), (73, 136), (73, 225), (73, 395), (73, 602), (73, 737), (73, 1014), (74, 335), (74, 399), (74, 420), (75, 182), (75, 289), (75, 297), (76, 112), (76, 766), (77, 120), (77, 357), (77, 1163), (78, 126), (78, 1066), (79, 262), (79, 461), (79, 907), (80, 215), (80, 236), (80, 786), (80, 928), (80, 1142), (81, 105), (81, 1096), (82, 410), (82, 597), (82, 963), (83, 127), (83, 356), (83, 953), (83, 1191), (84, 86), (84, 199), (84, 648), (85, 400), (85, 431), (85, 444), (85, 829), (86, 197), (86, 935), (87, 100), (87, 183), (87, 231), (87, 477), (87, 691), (87, 991), (88, 110), (88, 165), (88, 928), (89, 90), (89, 164), (89, 290), (89, 384), (89, 779), (90, 101), (90, 151), (90, 178), (90, 217), (90, 237), (90, 339), (90, 498), (90, 855), (91, 516), (91, 1022), (92, 122), (92, 144), (92, 323), (92, 584), (92, 974), (93, 275), (93, 355), (93, 847), (93, 965), (94, 211), (94, 313), (94, 432), (94, 901), (95, 305), (96, 192), (96, 590), (96, 618), (97, 207), (97, 919), (100, 179), (100, 334), (100, 388), (100, 425), (101, 378), (101, 751), (102, 107), (102, 150), (102, 227), (102, 629), (103, 153), (103, 171), (103, 216), (103, 259), (103, 266), (103, 795), (104, 176), (104, 577), (105, 109), (105, 216), (105, 227), (105, 257), (105, 366), (105, 597), (106, 823), (107, 213), (107, 298), (107, 316), (107, 343), (107, 443), (108, 396), (108, 703), (108, 1072), (108, 1124), (109, 748), (110, 358), (110, 785), (111, 129), (111, 602), (111, 706), (111, 992), (111, 1045), (112, 132), (112, 687), (112, 714), (113, 191), (113, 279), (113, 564), (113, 820), (114, 694), (114, 1067), (115, 637), (115, 1023), (116, 170), (116, 412), (116, 444), (117, 200), (117, 327), (119, 124), (119, 223), (120, 330), (120, 436), (121, 235), (121, 308), (122, 1164), (123, 194), (123, 203), (123, 681), (123, 939), (123, 1068), (124, 610), (125, 533), (125, 629), (125, 1012), (126, 131), (126, 468), (127, 249), (127, 260), (127, 567), (127, 756), (128, 181), (128, 349), (128, 387), (128, 580), (128, 670), (129, 177), (129, 415), (129, 687), (129, 1107), (130, 139), (130, 349), (130, 359), (131, 185), (131, 370), (132, 135), (132, 140), (132, 156), (132, 218), (132, 304), (132, 599), (132, 744), (133, 365), (133, 997), (134, 307), (134, 753), (135, 256), (135, 305), (135, 697), (135, 981), (135, 1196), (136, 418), (136, 1075), (137, 187), (137, 219), (137, 309), (137, 682), (137, 1148), (138, 329), (138, 422), (138, 630), (138, 776), (138, 868), (138, 1147), (139, 526), (139, 562), (140, 160), (140, 273), (141, 233), (141, 892), (142, 222), (142, 1007), (143, 162), (143, 179), (143, 277), (143, 321), (143, 1106), (144, 149), (144, 193), (144, 788), (145, 237), (145, 350), (145, 385), (145, 470), (145, 618), (146, 240), (146, 396), (147, 172), (147, 188), (147, 477), (149, 163), (149, 598), (150, 154), (150, 201), (150, 451), (151, 331), (151, 980), (153, 348), (153, 959), (154, 585), (155, 168), (155, 572), (155, 928), (156, 964), (157, 569), (157, 590), (157, 667), (158, 466), (158, 653), (158, 704), (159, 522), (159, 891), (159, 1104), (159, 1175), (160, 413), (160, 953), (160, 1058), (161, 271), (161, 346), (161, 657), (161, 832), (162, 414), (162, 1174), (163, 986), (164, 178), (164, 701), (164, 941), (165, 424), (166, 302), (166, 387), (166, 484), (167, 545), (168, 992), (170, 1143), (171, 364), (172, 228), (172, 702), (173, 211), (173, 278), (173, 896), (174, 199), (174, 245), (174, 743), (175, 311), (175, 411), (175, 1043), (176, 266), (176, 873), (177, 190), (177, 288), (177, 470), (177, 847), (179, 212), (179, 221), (179, 375), (179, 990), (179, 1122), (180, 616), (180, 1090), (181, 386), (181, 1071), (182, 261), (182, 481), (182, 581), (182, 705), (182, 745), (183, 807), (184, 366), (184, 367), (184, 512), (185, 303), (185, 425), (185, 445), (185, 489), (185, 605), (185, 748), (185, 1025), (186, 253), (186, 319), (186, 561), (187, 312), (188, 253), (189, 413), (190, 270), (190, 318), (190, 576), (190, 612), (190, 959), (191, 229), (191, 244), (191, 693), (192, 569), (193, 196), (194, 299), (194, 691), (194, 800), (195, 394), (195, 741), (196, 750), (197, 678), (197, 801), (199, 465), (199, 933), (199, 934), (199, 1136), (200, 466), (200, 926), (200, 1007), (200, 1075), (201, 209), (201, 289), (201, 293), (201, 546), (202, 421), (203, 278), (203, 353), (203, 445), (203, 616), (203, 633), (203, 1086), (204, 214), (204, 273), (205, 320), (207, 407), (209, 1052), (210, 230), (210, 373), (210, 1040), (211, 430), (212, 913), (213, 222), (213, 620), (213, 770), (214, 317), (215, 340), (215, 403), (216, 283), (217, 233), (217, 315), (217, 447), (218, 798), (218, 1163), (219, 830), (219, 851), (219, 873), (220, 1079), (221, 332), (221, 792), (222, 294), (222, 507), (222, 588), (222, 905), (223, 255), (223, 337), (223, 636), (223, 853), (223, 924), (224, 735), (225, 667), (226, 471), (226, 765), (226, 963), (227, 378), (227, 423), (227, 493), (227, 872), (227, 953), (227, 975), (228, 239), (228, 357), (229, 358), (229, 565), (230, 305), (230, 322), (230, 363), (230, 429), (231, 368), (231, 973), (231, 1188), (232, 247), (232, 515), (232, 1105), (233, 501), (233, 920), (234, 291), (234, 560), (234, 996), (235, 294), (236, 537), (236, 797), (237, 397), (237, 541), (237, 1069), (238, 246), (238, 583), (239, 383), (239, 487), (240, 269), (240, 558), (240, 1085), (241, 310), (241, 952), (242, 243), (242, 337), (242, 449), (242, 830), (243, 360), (243, 486), (244, 284), (244, 720), (245, 249), (245, 552), (246, 269), (247, 560), (247, 1179), (248, 647), (248, 1161), (249, 347), (249, 390), (249, 562), (251, 274), (251, 962), (252, 266), (252, 272), (252, 1012), (253, 614), (254, 611), (254, 656), (254, 804), (255, 314), (255, 544), (255, 896), (256, 607), (256, 683), (257, 275), (257, 287), (259, 422), (259, 630), (259, 1035), (259, 1176), (260, 856), (260, 1176), (261, 276), (261, 389), (261, 602), (262, 762), (262, 898), (264, 344), (265, 293), (265, 724), (266, 428), (266, 521), (267, 497), (268, 455), (268, 990), (269, 282), (269, 475), (269, 549), (269, 707), (269, 1162), (269, 1164), (270, 1108), (270, 1161), (271, 446), (271, 516), (271, 893), (271, 1057), (272, 600), (272, 785), (272, 1015), (273, 345), (273, 511), (274, 1176), (275, 383), (275, 964), (276, 285), (276, 489), (276, 497), (276, 1142), (277, 805), (278, 554), (278, 567), (278, 986), (279, 574), (279, 764), (280, 306), (280, 450), (280, 492), (281, 851), (281, 1117), (281, 1121), (281, 1184), (282, 880), (283, 419), (283, 830), (283, 1136), (284, 331), (284, 385), (284, 1189), (285, 369), (286, 368), (286, 388), (287, 350), (288, 506), (288, 578), (289, 580), (289, 850), (289, 1062), (290, 351), (290, 1078), (291, 555), (291, 1058), (292, 324), (292, 406), (293, 528), (293, 554), (294, 326), (294, 380), (294, 458), (296, 332), (296, 563), (296, 892), (297, 300), (297, 315), (297, 537), (297, 1144), (298, 1036), (299, 536), (302, 499), (302, 704), (302, 706), (302, 1047), (303, 378), (303, 723), (303, 1016), (304, 1019), (305, 322), (305, 455), (305, 927), (305, 1186), (306, 533), (307, 871), (307, 900), (307, 922), (307, 1158), (308, 418), (309, 419), (309, 869), (309, 914), (310, 377), (310, 523), (310, 675), (310, 1118), (311, 790), (311, 1161), (312, 953), (313, 405), (314, 330), (314, 395), (315, 518), (315, 590), (315, 1024), (316, 460), (317, 512), (318, 943), (319, 591), (319, 623), (320, 472), (321, 348), (322, 343), (322, 361), (322, 874), (323, 398), (323, 404), (323, 502), (323, 770), (324, 673), (325, 1122), (326, 956), (327, 361), (327, 510), (327, 1047), (329, 340), (329, 737), (330, 365), (330, 420), (330, 624), (330, 734), (331, 624), (331, 696), (331, 846), (331, 1018), (332, 381), (332, 382), (332, 640), (332, 839), (332, 909), (332, 1105), (334, 415), (334, 960), (335, 463), (335, 663), (335, 1185), (337, 1133), (338, 596), (339, 480), (339, 1094), (340, 865), (342, 901), (342, 932), (344, 388), (344, 757), (344, 982), (345, 830), (346, 661), (346, 1173), (347, 376), (348, 1067), (349, 686), (349, 944), (350, 589), (350, 703), (351, 627), (352, 527), (353, 355), (354, 483), (355, 513), (355, 676), (355, 972), (356, 933), (357, 496), (358, 440), (358, 1144), (359, 373), (359, 757), (360, 836), (360, 911), (360, 1100), (361, 1135), (363, 1151), (364, 665), (364, 793), (364, 890), (364, 902), (365, 1007), (366, 681), (366, 800), (366, 802), (366, 929), (368, 641), (368, 857), (368, 930), (368, 1008), (368, 1023), (369, 634), (369, 777), (370, 591), (370, 993), (375, 764), (375, 802), (375, 894), (376, 1180), (377, 391), (377, 518), (377, 757), (377, 781), (377, 1151), (378, 758), (378, 1165), (380, 462), (380, 593), (380, 654), (381, 1091), (382, 426), (383, 503), (384, 852), (384, 1162), (385, 937), (386, 680), (387, 547), (388, 714), (389, 696), (390, 927), (390, 1028), (391, 456), (391, 612), (393, 482), (394, 453), (394, 586), (394, 612), (394, 799), (395, 1186), (396, 725), (397, 676), (397, 937), (398, 622), (399, 424), (399, 495), (399, 546), (400, 915), (403, 979), (404, 543), (404, 1004), (405, 646), (405, 1092), (406, 860), (407, 858), (407, 1092), (408, 989), (408, 992), (408, 1040), (409, 769), (409, 903), (410, 657), (410, 804), (411, 828), (413, 931), (414, 687), (414, 1138), (415, 593), (418, 1195), (419, 735), (420, 1151), (421, 541), (421, 648), (422, 558), (422, 841), (423, 1111), (423, 1135), (424, 849), (425, 780), (425, 811), (426, 566), (426, 882), (426, 937), (426, 1182), (428, 429), (428, 1057), (429, 461), (429, 476), (429, 639), (429, 890), (430, 590), (431, 1183), (432, 551), (432, 1116), (433, 1058), (433, 1071), (434, 1147), (436, 658), (440, 482), (440, 535), (440, 844), (440, 1017), (442, 485), (442, 619), (442, 931), (442, 976), (443, 1001), (444, 487), (444, 639), (445, 488), (447, 542), (448, 581), (448, 686), (449, 505), (449, 719), (449, 950), (450, 604), (451, 1018), (453, 464), (453, 613), (455, 1193), (456, 969), (458, 859), (460, 705), (461, 1117), (463, 566), (463, 858), (463, 1187), (464, 532), (464, 710), (465, 1125), (466, 565), (468, 483), (471, 617), (471, 667), (471, 889), (472, 1169), (472, 1171), (473, 1083), (474, 594), (474, 963), (475, 1170), (476, 594), (478, 777), (478, 1039), (479, 697), (480, 529), (481, 604), (481, 884), (481, 910), (483, 535), (484, 621), (484, 1027), (485, 495), (485, 844), (486, 651), (486, 1017), (487, 784), (488, 499), (488, 532), (488, 685), (489, 843), (492, 631), (492, 1014), (492, 1127), (493, 514), (494, 911), (496, 685), (497, 749), (498, 898), (499, 671), (499, 913), (499, 1003), (501, 690), (501, 757), (501, 1120), (501, 1175), (502, 967), (503, 531), (503, 1062), (505, 587), (505, 875), (505, 876), (506, 1097), (507, 670), (510, 592), (511, 658), (513, 993), (513, 1170), (514, 684), (515, 580), (516, 829), (516, 973), (518, 713), (521, 576), (522, 1196), (523, 882), (523, 1066), (527, 662), (527, 1113), (528, 542), (528, 744), (529, 553), (530, 867), (530, 904), (531, 648), (531, 793), (533, 619), (533, 902), (535, 740), (536, 727), (538, 758), (538, 802), (541, 786), (543, 703), (544, 556), (544, 798), (545, 799), (546, 1167), (547, 574), (547, 1031), (549, 668), (551, 724), (551, 841), (552, 734), (552, 872), (552, 1191), (553, 686), (555, 652), (555, 1071), (556, 603), (556, 694), (558, 850), (558, 884), (561, 988), (562, 627), (563, 575), (563, 827), (563, 854), (564, 1111), (566, 874), (566, 1090), (567, 700), (567, 866), (569, 883), (569, 1141), (571, 674), (571, 810), (572, 687), (572, 952), (572, 1001), (573, 1116), (574, 1008), (576, 849), (578, 713), (580, 692), (581, 1069), (582, 904), (582, 933), (582, 1172), (583, 745), (583, 805), (584, 753), (584, 884), (584, 902), (584, 1096), (585, 944), (585, 1006), (588, 874), (589, 972), (589, 1021), (590, 816), (590, 926), (592, 603), (595, 650), (596, 900), (596, 1088), (598, 644), (598, 925), (600, 853), (603, 956), (604, 761), (605, 734), (609, 920), (609, 971), (610, 652), (610, 865), (611, 678), (613, 699), (613, 1157), (613, 1167), (614, 1037), (616, 946), (617, 975), (617, 1092), (619, 1075), (619, 1108), (620, 682), (620, 766), (621, 1158), (622, 937), (622, 1154), (623, 815), (623, 847), (623, 890), (624, 1032), (624, 1052), (624, 1099), (630, 831), (630, 859), (630, 1023), (631, 644), (631, 784), (633, 660), (633, 913), (634, 717), (635, 670), (635, 719), (635, 953), (637, 693), (639, 680), (639, 1066), (639, 1130), (639, 1187), (640, 662), (640, 779), (646, 1085), (646, 1087), (646, 1137), (647, 950), (648, 843), (649, 948), (650, 1146), (650, 1152), (651, 807), (653, 712), (653, 815), (653, 903), (654, 775), (656, 722), (657, 754), (657, 921), (660, 666), (660, 675), (661, 754), (662, 846), (663, 1126), (664, 823), (665, 676), (665, 937), (666, 948), (667, 1138), (667, 1187), (668, 702), (668, 944), (670, 776), (671, 771), (673, 756), (673, 831), (674, 723), (674, 741), (674, 1079), (678, 1175), (679, 724), (681, 1087), (682, 699), (682, 956), (683, 716), (683, 1100), (686, 1099), (687, 1064), (690, 872), (691, 1064), (692, 981), (694, 768), (696, 1094), (699, 728), (699, 1119), (700, 1115), (701, 1019), (706, 915), (707, 763), (710, 970), (710, 1105), (712, 857), (713, 1027), (714, 962), (714, 996), (717, 1125), (719, 820), (719, 980), (720, 1106), (722, 862), (724, 1088), (725, 782), (727, 787), (727, 1107), (728, 913), (735, 996), (735, 1096), (735, 1173), (737, 854), (737, 1078), (740, 908), (742, 796), (743, 845), (743, 862), (745, 1054), (748, 750), (748, 784), (748, 924), (748, 1026), (749, 967), (751, 788), (753, 1010), (754, 989), (761, 779), (761, 925), (761, 991), (762, 855), (763, 918), (763, 986), (765, 943), (765, 1041), (765, 1179), (769, 1159), (770, 970), (771, 1064), (775, 1127), (779, 1084), (780, 998), (781, 891), (782, 842), (782, 919), (782, 1123), (783, 795), (783, 831), (784, 853), (786, 987), (786, 1072), (787, 987), (787, 1137), (788, 941), (789, 931), (790, 876), (792, 995), (793, 940), (793, 1057), (795, 1016), (795, 1076), (796, 949), (796, 1001), (797, 1169), (798, 929), (798, 971), (798, 1183), (801, 944), (801, 1176), (804, 1120), (807, 981), (807, 1171), (810, 1101), (811, 910), (811, 1165), (816, 950), (820, 846), (827, 893), (827, 925), (827, 1045), (828, 1022), (830, 899), (836, 935), (836, 1189), (839, 904), (839, 918), (842, 1157), (843, 1068), (843, 1185), (845, 914), (845, 1015), (847, 947), (847, 1024), (847, 1074), (852, 974), (854, 1126), (856, 939), (860, 909), (867, 1025), (868, 1043), (871, 933), (871, 1087), (875, 1127), (880, 1143), (883, 1107), (888, 938), (889, 1186), (890, 940), (890, 1086), (891, 1161), (894, 996), (899, 1198), (900, 934), (902, 1037), (905, 1035), (907, 1159), (908, 1036), (908, 1107), (911, 1123), (919, 1132), (920, 1093), (921, 1130), (922, 1071), (925, 949), (926, 995), (928, 998), (929, 960), (929, 974), (931, 949), (932, 1185), (937, 1094), (938, 1098), (939, 1019), (940, 1168), (944, 1091), (946, 1020), (947, 969), (960, 1049), (960, 1178), (964, 1054), (964, 1198), (969, 1184), (970, 1183), (971, 1018), (975, 1090), (976, 1175), (979, 1004), (979, 1188), (990, 1072), (992, 1088), (993, 1054), (995, 1085), (1003, 1101), (1006, 1182), (1016, 1152), (1019, 1064), (1020, 1183), (1021, 1113), (1025, 1093), (1026, 1078), (1026, 1110), (1028, 1177), (1039, 1105), (1041, 1085), (1066, 1124), (1072, 1141), (1075, 1098), (1076, 1177), (1083, 1170), (1084, 1098), (1088, 1089), (1089, 1091), (1108, 1137), (1110, 1133), (1110, 1178), (1118, 1180), (1119, 1198), (1132, 1183), (1141, 1148), (1161, 1168)}
BCC 153 (Bridge): {(225, 548)}
BCC 154 (Bridge): {(196, 606)}
BCC 155 (Bridge): {(99, 794)}
BCC 156 (Bridge): {(325, 504)}
BCC 157 (Bridge): {(842, 879)}
BCC 158 (Bridge): {(281, 698)}
BCC 159 (Bridge): {(128, 438)}
BCC 160 (Bridge): {(176, 371)}
BCC 161 (Bridge): {(672, 803)}
BCC 162 (Bridge): {(555, 1077)}
BCC 163 (Bridge): {(564, 730)}
BCC 164 (Bridge): {(319, 1042)}
BCC 165 (Bridge): {(1091, 1149)}
BCC 166 (Bridge): {(469, 819)}
BCC 167 (Bridge): {(108, 813)}
BCC 168 (Bridge): {(793, 1181)}
BCC 169 (Bridge): {(79, 791)}
BCC 170 (Bridge): {(811, 825)}
BCC 171 (Bridge): {(22, 148)}
BCC 172 (Bridge): {(514, 961)}
BCC 173 (Bridge): {(10, 524)}
BCC 174 (Bridge): {(0, 861)}
BCC 175 (Bridge): {(194, 726)}
BCC 176 (Bridge): {(578, 958)}
BCC 177 (Bridge): {(255, 341)}
BCC 178 (Bridge): {(268, 508)}
BCC 179 (Bridge): {(449, 677)}
BCC 180 (Bridge): {(503, 568)}
BCC 181 (Bridge): {(338, 437)}
BCC 182 (Bridge): {(162, 625)}
BCC 183 (Bridge): {(241, 638)}
BCC 184 (Bridge): {(571, 778)}
BCC 185 (Bridge): {(93, 659)}
BCC 186 (Bridge): {(791, 1082)}
BCC 187 (Bridge): {(805, 1102)}
BCC 188 (Bridge): {(397, 755)}
BCC 189 (Bridge): {(30, 1190)}
BCC 190 (Bridge): {(536, 954)}
BCC 191 (Bridge): {(415, 1194)}
